Country,Country_ID,City,IndicatorCode,Continent,Date,Prevalence,Disease_ID,Continent_Name,City_URL
Afghanistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16267,,https://w3id.org/ohboi#P156,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2003,0.27,http://purl.obolibrary.org/obo/DOID_3112,Asia,
Afghanistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16267,,https://w3id.org/ohboi#P165,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2002,0.27,http://purl.obolibrary.org/obo/DOID_3121,Asia,
Afghanistan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16267,,https://w3id.org/ohboi#P203,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26273,01/01/2000,0.271,http://purl.obolibrary.org/obo/DOID_3159,Asia,
Albania,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16271,,https://w3id.org/ohboi#P37,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2020,0.018,http://purl.obolibrary.org/obo/DOID_2993,Europe,
Albania,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16271,,https://w3id.org/ohboi#P212,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.027,http://purl.obolibrary.org/obo/DOID_3168,Europe,
Algeria,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16274,,https://w3id.org/ohboi#P117,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2008,0.098,http://purl.obolibrary.org/obo/DOID_3073,Africa,
Andorra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16289,,https://w3id.org/ohboi#P50,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2019,0.0087,http://purl.obolibrary.org/obo/DOID_3006,Europe,
Andorra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16289,,https://w3id.org/ohboi#P153,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2003,0.02,http://purl.obolibrary.org/obo/DOID_3109,Europe,
Andorra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16289,,https://w3id.org/ohboi#P206,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.024,http://purl.obolibrary.org/obo/DOID_3162,Europe,
Angola,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16292,,https://w3id.org/ohboi#P218,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26272,01/01/2000,0.404,http://purl.obolibrary.org/obo/DOID_3174,Africa,
Argentina,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16305,,https://w3id.org/ohboi#P238,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26277,01/01/2000,0.044,http://purl.obolibrary.org/obo/DOID_3194,America,
Armenia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16306,,https://w3id.org/ohboi#P23,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2021,0.036,http://purl.obolibrary.org/obo/DOID_2979,Europe,
Armenia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16306,,https://w3id.org/ohboi#P114,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2008,0.127,http://purl.obolibrary.org/obo/DOID_3070,Europe,
Australia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,,https://w3id.org/ohboi#P110,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16311,01/01/2009,0.0079,http://purl.obolibrary.org/obo/DOID_3066,Australia,
Austria,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16312,,https://w3id.org/ohboi#P192,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2000,0.02,http://purl.obolibrary.org/obo/DOID_3148,Europe,
Azerbaijan,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16316,,https://w3id.org/ohboi#P122,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26274,01/01/2006,0.113,http://purl.obolibrary.org/obo/DOID_3078,Europe,
