Disease_ID,disease,Phenotype_ID,phenotype
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0013136,genital discharge
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0003305,proctitis
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0011762,renal/urinary system inflammation
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0012888,Abnormality of the uterine cervix
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0030160,Cervicitis
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0030161,Vaginal pruritus
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0100518,Dull burning sensation with urination
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0100608,Abnormal uterus bleeding
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0200043,Verrucae
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0003541,vaginal inflammation
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0009228,canalis cervicis uteri inflammation
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0011763,urethra inflammation
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0003249,Genital ulcers
http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0004434,C8 deficiency
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0012387,Bronchitis
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0012388,Acute bronchitis
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/MP_0003865,lymph node inflammation
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0000388,Middle ear infection
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0030812,Enlarged tonsils
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0031458,Adenoiditis
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0040261,Adenoid hypertrophy
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0100776,Pharyngitis
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0100847,Palmoplantar pustules
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0000371,Acute middle ear infection
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0002840,Inflammation of the lymph nodes
http://purl.obolibrary.org/obo/DOID_10456,chronic tonsillitis,http://purl.obolibrary.org/obo/HP_0004821,Hypermature neutrophils
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0002088,Abnormal lung morphology
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/MP_0001861,lung inflammation
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0006527,Lymphoid interstitial pneumonia
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0011946,Bronchiolitis obliterans
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0006530,Interstitial lung disease
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/MP_0002405,respiratory system inflammation
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0002090,Pneumonia
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0002206,Pulmonary fibrosis
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/MP_0001862,interstitial pneumonia
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/MP_0002133,abnormal respiratory system physiology
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0011947,Respiratory infection
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia,http://purl.obolibrary.org/obo/HP_0002086,Abnormality of the respiratory system
