Pathogen_ID,pathogen,Disease_ID,disease,Phenotype_ID,phenotype,NCIT
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0013136,genital discharge,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0003305,proctitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0011762,renal/urinary system inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0012888,Abnormality of the uterine cervix,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0030160,Cervicitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0030161,Vaginal pruritus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0100518,Dull burning sensation with urination,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0100608,Abnormal uterus bleeding,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/HP_0200043,Verrucae,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
http://purl.obolibrary.org/obo/NCBITaxon_482,Nesseira,http://purl.obolibrary.org/obo/DOID_7551,chronic gonococcal infection of lower genitourinary tract,http://purl.obolibrary.org/obo/MP_0003541,vaginal inflammation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76371
