Drug_ID,PubChem_label,ChEMBL_URI,CHEBI_ID,formula,mass,atcClassification,SMILES,BrandName,CommonName,Disease_ID,drug,Treatment_ID,ChEMBL_ID,Treatment_URI
https://pubchem.ncbi.nlm.nih.gov/compound/100002021,spectinomycin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4543601,,C14H33Cl3N2O10,495.78,,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O,Trobicin,Trobicin,http://purl.obolibrary.org/obo/DOID_7551,spectinomycin,T1,CHEMBL4543601,https://w3id.org/ohboi#T1
https://pubchem.ncbi.nlm.nih.gov/compound/100002171,amoxicillin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2105950,http://purl.obolibrary.org/obo/CHEBI_51255,C16H18N3NaO5S,387.39,,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,AmoxilÂ ,amoxicillin,http://purl.obolibrary.org/obo/DOID_7551,amoxicillin,T2,CHEMBL2105950,https://w3id.org/ohboi#T2
https://pubchem.ncbi.nlm.nih.gov/compound/100002171,amoxicillin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2105950,http://purl.obolibrary.org/obo/CHEBI_51255,C16H18N3NaO5S,387.39,,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,AmoxilÂ ,amoxicillin,http://purl.obolibrary.org/obo/DOID_10456,amoxicillin,T49,CHEMBL2105950,https://w3id.org/ohboi#T49
https://pubchem.ncbi.nlm.nih.gov/compound/100002171,amoxicillin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2105950,http://purl.obolibrary.org/obo/CHEBI_51255,C16H18N3NaO5S,387.39,,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,AmoxilÂ ,amoxicillin,http://purl.obolibrary.org/obo/DOID_10456,amoxicillin,T120,CHEMBL2105950,https://w3id.org/ohboi#T120
https://pubchem.ncbi.nlm.nih.gov/compound/100003256,monomycin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4303788,,C23H45N5O14,615.63,,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,monomycin,monomycin,http://purl.obolibrary.org/obo/DOID_7551,monomycin,T3,CHEMBL4303788,https://w3id.org/ohboi#T3
https://pubchem.ncbi.nlm.nih.gov/compound/100003256,monomycin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4303788,,C23H45N5O14,615.63,,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,monomycin,monomycin,http://purl.obolibrary.org/obo/DOID_10456,monomycin,T42,CHEMBL4303788,https://w3id.org/ohboi#T42
https://pubchem.ncbi.nlm.nih.gov/compound/100003256,monomycin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4303788,,C23H45N5O14,615.63,,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,monomycin,monomycin,http://purl.obolibrary.org/obo/DOID_552,monomycin,T80,CHEMBL4303788,https://w3id.org/ohboi#T80
https://pubchem.ncbi.nlm.nih.gov/compound/100003256,monomycin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4303788,,C23H45N5O14,615.63,,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,monomycin,monomycin,http://purl.obolibrary.org/obo/DOID_10456,monomycin,T113,CHEMBL4303788,https://w3id.org/ohboi#T113
https://pubchem.ncbi.nlm.nih.gov/compound/100003256,monomycin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4303788,,C23H45N5O14,615.63,,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,monomycin,monomycin,http://purl.obolibrary.org/obo/DOID_552,monomycin,T118,CHEMBL4303788,https://w3id.org/ohboi#T118
https://pubchem.ncbi.nlm.nih.gov/compound/100003256,monomycin,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4303788,,C23H45N5O14,615.63,,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,monomycin,monomycin,http://purl.obolibrary.org/obo/DOID_11573,monomycin,T146,CHEMBL4303788,https://w3id.org/ohboi#T146
