PubChem_ID,PubChem_label,SMILES,ChEMBL_ID,CHEBI_ID,formula,mass,atcClassification
https://pubchem.ncbi.nlm.nih.gov/compound/100002021,spectinomycin,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O,CHEMBL4543601,,C14H33Cl3N2O10,495.78,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002171,amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,CHEMBL2105950,51255.0,C16H18N3NaO5S,387.39,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100003256,monomycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,CHEMBL4303788,,C23H45N5O14,615.63,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002269,azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,CHEMBL2361091,,C38H72N2O12,749.00,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002786,clindamycin,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,CHEMBL1490142,,C18H36Cl2N2O6S,479.47,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002173,ampicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,CHEMBL1617921,,C16H19N3O4S,349.41,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100003255,erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CHEMBL1328576,,C37H67NO13,733.94,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002655,ceftizoxime,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=CCS3)C(=O)O,CHEMBL551654,,C13H13N5O5S2,383.41,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002656,ceftriaxone,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,CHEMBL1741130,,C18H18N8O7S3,554.59,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002631,cefotaxime,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,CHEMBL1622795,,C16H17N5O7S2,455.47,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002658,cefuroxime,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,CHEMBL1620018,,C16H16N4O8S,424.39,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002675,cefixime,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,CHEMBL427069,,C16H15N5O7S2,453.46,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002349,penicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,CHEMBL312755,,C16H18N2O4S,334.40,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002764,ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,CHEMBL4303345,,C17H21ClFN3O4,385.82,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100002274,aztreonam,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,CHEMBL3833340,,C19H31N7O10S2,581.63,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100004539,norfloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,CHEMBL4635810,,C16H19ClFN3O3,355.80,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100004583,ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,CHEMBL2237108,,C18H21ClFN3O4,397.83,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/151601240,demeclocycline,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,CHEMBL4583882,,C21H21ClN2O8,464.86,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100047419,cefuroxime axetil,CC(OC(=O)C)OC(=O)C1=C(CSC2N1C(=O)C2NC(=O)C(=NOC)C3=CC=CO3)COC(=O)N,CHEMBL1095930,3516.0,C20H22N4O10S,510.48,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100005379,gatifloxacin,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,CHEMBL428581,53562.0,C19H22FN3O4,375.40,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/126275995,minocycline,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,CHEMBL4576719,,C23H28ClN3O7,493.94,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100358641,trimethoprim-sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,CHEMBL58061,,C24H29N7O6S,543.61,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100054547,cefpodoxime,COCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,CHEMBL1672,3504.0,C15H17N5O6S2,427.46,[['J01DD13']]
https://pubchem.ncbi.nlm.nih.gov/compound/100002646,cefprozil,CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,CHEMBL3348819,,C18H21N3O6S,407.45,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100073658,telithromycin,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,CHEMBL3348879,,C43H65N5O10,812.02,[[]]
https://pubchem.ncbi.nlm.nih.gov/compound/100444006,cefditoren,CC1=C(SC=N1)C=CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,CHEMBL1743,59343.0,C19H18N6O5S3,506.59,[['J01DD16']]
